"name","score","genre","thumbnail","userscore","summary","platform","publisher","developer","rating","rlsdate","url"
"South Park: The Stick of Truth","85","Role-Playing","http://static.metacritic.com/images/products/games/1/9abcebdcfc5e259df3e2a32300b58054-98.jpg","8.6","South Park: The Game is an epic role-playing adventure that will allow the user to befriend Stan, Kyle, Cartman and Kenny and explore the quiet little mountain town like never before.","PC","Ubisoft","Obsidian Entertainment","M","2014-03-04","http://www.metacritic.com/game/pc/south-park-the-stick-of-truth"
"Space Engineers",NA,"Strategy","http://static.metacritic.com/images/products/games/2/e64a1636e723196718acc71960aa0938-98.jpg","7.9","Space Engineers is a sandbox game about engineering, construction and maintenance of space works. Players build space ships and space stations of various sizes and utilization (civil and military), pilot ships and perform asteroid mining.","PC","Keen Software House Ltd","Keen Software House Ltd","T","2013-10-23","http://www.metacritic.com/game/pc/space-engineers"
"SpeedRunners",NA,"Action","http://static.metacritic.com/images/products/games/2/b3c2c7ad6ec4b9339320329a6b3baa14-98.jpg",NA,"","PC","tinyBuild","DoubleDutch Games","","1970-01-01","http://www.metacritic.com/game/pc/speedrunners"
"SpinTires","67","Driving","http://static.metacritic.com/images/products/games/2/00d4ef508adca4fc5ba94ddd89f3b4cc-98.jpg","7.8","Assume control of large all-terrain Soviet vehicles and venture across the rugged landscapes with just a map and compass to direct you. Explore the levels and unlock portions of the map whilst discovering new trucks, fueling stations, garages and lumber mills.","PC","Oovee Game Studios","Oovee Game Studios","","2014-06-12","http://www.metacritic.com/game/pc/spintires"
"Star Trek Online","66","Role-Playing","http://static.metacritic.com/images/products/games/2/179025b33fd46ac2877e8964b7f3f65f-98.jpg","6.2","In Star Trek Online, the Star Trek universe will appear for the first time on a truly massive scale. In this massively multiplayer online game from Cryptic Studios, players can pioneer their own destiny as Captain of a Federation starship. Or, they can become a Klingon Warlord and expand the Empire to the far reaches of the galaxy. Players will have the opportunity to visit iconic locations from the popular Star Trek fiction, reach out to unexplored star systems, and make contact with new alien species. With Episode Missions, every moment spent playing Star Trek Online will feel like a new Star Trek episode in which you are the star. Immerse yourself in the future of the Trek universe as it moves into the 25th century: a time of shifting alliances and new discoveries. [Atari]","PC","Atari","Cryptic Studios","T","2010-02-02","http://www.metacritic.com/game/pc/star-trek-online"
"Star Wars: Battlefront II","78","Action","http://static.metacritic.com/images/products/games/9/bd80581d4bf62bfab2ba5804d2ea7fc5-98.jpg","8.8","Star Wars Battlefront II improves upon the original game's single-player experience with open-ended, mission-based objectives inspired from all six Star Wars films. The compelling storyline spans more than 12 new locations, many from Episode III, including volcanic Mustafar and the space battle above Coruscant. All-new classic movie moments complete the Star Wars Battlefront II experience, as players battle within the interior of the Death Star and visit Princess Leia’s blockade runner, the Tantive IV, as seen at the beginning of Episode IV A New Hope. In addition, at certain key moments within the battles, players can feel the Force as a Jedi. For the first time ever, Star Wars Battlefront II players can engage in space combat and, during the same battle, board enemy ships to attack from within. Starting on foot inside a capital ship, players can enter the spacecraft of their choice and travel into space to dogfight with the rival faction. From there, they can dock within the enemy’s capital ship, overtake the ship’s command posts, man its turrets to disable its shields and destroy it from within! Or, they can simply stay inside their own capital ship and defend it from attacks and enemy fire. The choice is theirs. The stellar online play that marked the original Star Wars Battlefront returns even bigger and better for Star Wars Battlefront II. Players can locate their buddies and track their stats as they battle alongside more players than ever (up to 24 on PS2, 32 on Xbox, 64 on Windows). [LucasArts]","PC","LucasArts","Pandemic Studios","T","2005-10-31","http://www.metacritic.com/game/pc/star-wars-battlefront-ii"
"Star Wars: Empire at War - Gold Pack","","Miscellaneous","http://static.metacritic.com/images/products/games/9/7c637d60e53380421483a02d4459be9e-98.jpg","7.7","Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war.","PC","LucasArts","Petroglyph","T","2007-08-15","http://www.metacritic.com/game/pc/star-wars-empire-at-war---gold-pack"
"Star Wars: Knights of the Old Republic","93","Role-Playing","http://static.metacritic.com/images/products/games/9/fa5c67e8ea63a4c14cdacc9555accc60-98.jpg","9","Engage in this saga set in the Golden Age of the Republic - over 4,000 years before the first Star Wars film, when both Jedi and Sith number in the thousands. With the Galaxy reeling from a recent conflict with the Dark Lords, the ongoing battle between the Jedi and the Sith rages on. Your actions determine the outcome of this colossal galactic war - and your destiny as a Jedi. [LucasArts]","PC","LucasArts","BioWare","T","2003-11-18","http://www.metacritic.com/game/pc/star-wars-knights-of-the-old-republic"
"Star Wars: Knights of the Old Republic II - The Sith Lords","85","Role-Playing","http://static.metacritic.com/images/products/games/1/64c1da74887ddae03974864ff0344c28-98.jpg","8.3","Beginning approximately five years after the events of the first Knights of the Old Republic, The Sith Lords takes players on an entirely new journey as they assume the role of what is believed to be the last Jedi in the galaxy. The game features a cast of memorable returning characters and sinister new villains. Using more than 30 new Force powers, players can turn weak-minded enemies against one another in combat with ""Force confusion"" or see through doors and view character alignment with ""Force sight."" Assigned to protect the Old Republic and the Jedi Order from the terrifying Dark Lords of the Sith, players must explore and battle through seven diverse worlds while being challenged whether to choose the light side of the Force or surrender to the lure of the dark side. [LucasArts]","PC","LucasArts","Obsidian Entertainment","T","2005-02-08","http://www.metacritic.com/game/pc/star-wars-knights-of-the-old-republic-ii---the-sith-lords"
"Starbound",NA,"Action Adventure","http://static.metacritic.com/images/products/games/8/7e66f2dd09340b4d69b9bec259e9dfcb-98.jpg","6.5","In Starbound, you take on the role of a character who’s just fled from their home planet, only to crash-land on another. From there you’ll embark on a quest to survive, discover, explore and fight your way across an infinite universe.","PC","Chucklefish","Chucklefish","","2013-12-04","http://www.metacritic.com/game/pc/starbound"
"StarDrive 2","70","Sci-Fi","http://static.metacritic.com/images/products/games/1/038f767921857efd5cbe727b7f6d1535-98.jpg","5.2","The core mechanics of the franchise have evolved to incorporate a turn-based strategic layer, featuring realtime battles.","PC","Iceberg Interactive","Zero Sum Games","","2015-04-09","http://www.metacritic.com/game/pc/stardrive-2"
"Stealth Inc 2: A Game of Clones","77","Action","http://static.metacritic.com/images/products/games/6/5cee5a33e45fb94c401a4bf4eacba71a-98.jpg","6.3","The ultimate hostile work environmentIn Stealth Inc 2, you play the role of a clone escaping a sinister and high-tech testing facility. Stealth Inc 2 tests both your brain and your reflexes over 60 varied levels linked together in a sprawling overworld.Death is never more than a few moments away, but one of the few advantages of being a clone is that death isnt all that permanent. With no loading screens and no lives to worry about, players are encouraged to use their inevitable demise as a learning tool as they navigate lasers, homicidal robots and terrifying bosses in the ultimate hostile work environment.","PC","Curve Digital","Curve Digital","","2015-04-30","http://www.metacritic.com/game/pc/stealth-inc-2-a-game-of-clones"
"Steel Ocean",NA,"Strategy","http://static.metacritic.com/images/products/games/3/1cd4b0dae3f6e2c24512e54954dfb47a-98.jpg",NA,"","PC","Changyou.com Limited","ICE Entertainment","","2015-11-12","http://www.metacritic.com/game/pc/steel-ocean"
"Stranded Deep",NA,"Action Adventure","http://static.metacritic.com/images/products/games/5/45055c6116a1bd0a6e972e07b4a91451-98.jpg",NA,"Assume the role of a plane crash survivor stranded somewhere in the Pacific Ocean. Come face to face with life threatening scenarios that will result in a different experience each time you play.","PC","Beam Team Games","Beam Team Games","","1970-01-01","http://www.metacritic.com/game/pc/stranded-deep"
"Strife",NA,"Strategy","http://static.metacritic.com/images/products/games/8/810ee1d1812397e722581b4d97000f44-98.jpg",NA,"Strife® is a truly free to play, competitive, online ARTS / MOBA. Take control of powerful and versatile heroes, each capable of dominating in unique ways, and exert your will in an epic battle between two teams.","PC","S2 Games","S2 Games","","2015-05-22","http://www.metacritic.com/game/pc/strife"
"Stronghold Kingdoms","75","Role-Playing","http://static.metacritic.com/images/products/games/9/d4f8b9cfee5bbfe05177614bc689e3fd-98.jpg","5","Live the life of a medieval lord in Stronghold Kingdoms, the world's first persistent castle MMO. A unique PC Strategy game, Stronghold Kingdoms brings together online interactivity and community, with a richly-depicted medieval world and thousands of real world players.","PC","FireFly Studios","FireFly Studios","","2011-12-12","http://www.metacritic.com/game/pc/stronghold-kingdoms"
"Survarium",NA,"Action","http://static.metacritic.com/images/products/games/9/c8558d809ebdc5e4a5528d846b746e4a-98.jpg",NA,"SURVARIUM is a free2play MMOFPS set in the near future. The game focuses on the aftermath of a massive ecological catastrophe on Earth, the reasons behind which are only vaguely known.
Unique story and realistic setting. 

The player himself chooses which ideology to follow, should he be the supporter of science and technical progress or with those who consider themselves part of the nature, with the Forest advocates.","PC","Vostok Games","Vostok Games","","1970-01-01","http://www.metacritic.com/game/pc/survarium"
"Sword Coast Legends","62","Role-Playing","http://static.metacritic.com/images/products/games/1/695c1b05f2c3a943bad979944294e048-98.jpg","5.5","Set in the lush and vibrant world of the Forgotten Realms, Sword Coast Legends offers a novel new way to enjoy the time-tested magic of playing Dungeons & Dragons as a shared storytelling experience.","PC","Digital Extremes","n-Space","","2015-10-20","http://www.metacritic.com/game/pc/sword-coast-legends"
"Tabletop Simulator",NA,"Miscellaneous","http://static.metacritic.com/images/products/games/6/44b02d1a7d247b935bb2c34b21cbc2f1-98.jpg","7","Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table. There are no rules to follow: just you, a physics sandbox, and your friends. Make your own games and play how YOU want.","PC","Berserk Games","Berserk Games","","2014-04-18","http://www.metacritic.com/game/pc/tabletop-simulator"
"Tales from the Borderlands: A Telltale Game Series","85","Adventure","http://static.metacritic.com/images/products/games/0/6573548568d857ea6407375443728cc3-98.jpg","8.6","Like all good tales, there’s more than one side to a story. Especially one about a Vault key, the Hyperion Corporation, bandits, loot, gangsters, Vault Hunters, secret Atlas tech, explosions, getaways, extortion, betrayal, and mayhem. Set after the events seen in Borderlands 2, Tales from the Borderlands is about Rhys, a Hyperion company man looking to become the next Handsome Jack, and it’s also about Fiona, a Pandoran con artist out to score the biggest of all swindles. Lured into danger by a Vault key and all it promises, the unlikely duo are thrown together with a common goal and a huge amount of mistrust. Who is telling the truth, and why is it important That’s up to you to decide. You are Rhys…and you are also Fiona, because like every tale worth telling, there are two…oh, you read that part already? Well, it’s important to remember that there *are* two sides to every story, and you my friend, you will tell this tale, or…tales, through the choices that you make. Your every decision as both Rhys and Fiona will affect the people and world around you: this is a game where YOU are the final author in a brand new Borderlands story set on the unforgiving world of Pandora. [TellTale Games]","PC","Telltale Games","Telltale Games","M","2015-10-20","http://www.metacritic.com/game/pc/tales-from-the-borderlands-a-telltale-game-series"
"Tales of Zestiria",NA,"Role-Playing","http://static.metacritic.com/images/products/games/8/bdc66f04554a37e99205c42487622d32-98.jpg","8.4","An unseen evil force known as Malevolence is spreading across the land, corrupting the world and causing humanity to falter. Players will embark on an epic journey as Sorey, a young pure-hearted adventurer whose destiny is to become The Shepard, an individual of great power that can banish Malevolence. Does Sorey have the courage and heart to wield this extraordinary responsibility for good, or will he fall prey to the evils of its power? TALES OF ZESTIRIA introduces a new version of its celebrated real-time battle system, allowing for faster combat with side dashes and new fusion technique combo opportunities. Throughout his quest, Sorey will befriend humans and spirits known as Seraphim, unseen to most humans, to aide him on his journey. Because of Sorey’s unique ability to communicate with the Seraphim he is able to fuse with their essence to create new elemental artes for strategic attacks to decimate foes.","PC","Bandai Namco Games","Bandai Namco Games","T","2015-10-19","http://www.metacritic.com/game/pc/tales-of-zestiria"
"Talisman: Digital Edition","51","Card Battle Games","http://static.metacritic.com/images/products/games/4/7a573366314e7c6272f94d02cceba9ff-98.jpg","5.9","Talisman Digital Edition - The Magical Quest Game for 1 to 4 players. The officially licensed multiplayer version of the classic fantasy adventure board game, Talisman. This game is available as an Early Access release and is therefore not fully complete. The full version includes a full online multiplayer game for up to four players.","PC","Nomad Games","Nomad Games","","2013-10-14","http://www.metacritic.com/game/pc/talisman-digital-edition"
"Tap Tap Infinity",NA,"Action","http://static.metacritic.com/images/products/games/98w-game.jpg",NA,"","PC","Scary Bee","Scary Bee","","2015-07-17","http://www.metacritic.com/game/pc/tap-tap-infinity"
"Team Fortress 2","92","Action","http://static.metacritic.com/images/products/games/6/43275793dfcefd238b98ee2d88939192-98.jpg","9.2","Team Fortress 2 (TF2) is the sequel to the game that put class-based, multiplayer team warfare on the map. TF2 delivers new gametypes, a signature art style powered by Valve’s next generation animation technology, persistent player statistics, and more. Unlike other ""class-based"" games that offer a variety of combat classes only, Team Fortress 2 packs a wild variety of classes which provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills. Play as the flame-throwing Pyro, the room clearing Heavy, or the Spy, a master of disguises. Other classes include: Scout, Sniper, Medic, Engineer, Demoman, or Soldier. TF2 features the most advanced graphics of any Source-based game released to date – and the most exciting class-based action ever created. [Valve]","PC","Electronic Arts","Valve Software","M","2008-04-08","http://www.metacritic.com/game/pc/team-fortress-2"
"TERA","77","Role-Playing","http://static.metacritic.com/images/products/games/5/53f857c0dd7ceb796fcaecf25cfd3883-98.jpg","6.9","TERA elevates the fight beyond whack-a-mole monotony with imprved aiming, dodging, and tactical timing to create intense and rewarding combat. Unlike other MMOs, you can use your controller or keyboard and mouse to control the action like never before. With all the depth you expect from a traditional MMO, plus the intense gratification of action combat, TERA promises to change all the rules.","PC","En Masse Entertainment","Bluehole Studio","M","2012-05-01","http://www.metacritic.com/game/pc/tera"
"Terraria","83","Action","http://static.metacritic.com/images/products/games/2/3dc6070be9cb434dddf914626c11f8f8-98.jpg","8.5","Terraria offers players a chance to be an action gamer, master builder, a collector, and even an explorer.","PC","Re-Logic","Re-Logic","T","2011-05-16","http://www.metacritic.com/game/pc/terraria"
"The Binding of Isaac","84","Action","http://static.metacritic.com/images/products/games/4/3cef5f9630e229cf98a403fdf61af8e5-98.jpg","8.3","Isaac is a roguelike shooter based on the dungeon structure of Zelda (nes). At its core it controls like Smash TV / Robotron in a randomly generated semi RPG world filled with powerups items and special abilities.","PC","Edmund McMillen","Edmund McMillen, Florian Himsl","","2011-09-28","http://www.metacritic.com/game/pc/the-binding-of-isaac"
"The Binding of Isaac: Rebirth","86","Action Adventure","http://static.metacritic.com/images/products/games/0/10b9dc0d93ee7a559b34f7b0218a30d6-98.jpg","8.2","Rebirth is a randomly generated action RPG shooter with emphatic Roguelike elements. Following Isaac on his journey gamers discover bizarre treasures that change Isaac’s form giving him extra-human abilities and enabling him to fend off droves of mysterious creatures, learn secrets and scrap his way to safety.","PC","Nicalis","Nicalis","M","2014-11-04","http://www.metacritic.com/game/pc/the-binding-of-isaac-rebirth"
"The Crew","71","Racing","http://static.metacritic.com/images/products/games/5/cd77383df4f60983a7e23b1ee0f30912-98.jpg","6.4","Engage in a relentless ride to infiltrate and subvert the 510s, a gang that has come to power around Detroit's illegal street racing scene. Your mission? Build up your reputation in the secret racing scene and sabotage their activities city-by-city all across an open world United States. Maneuver through the crackling streets of New York City and Los Angeles, drive through sunny Miami Beach, or trek through the grand plateaus of Monument Valley. Each location comes with its own set of surprises and driving challenges to master. On your journey you will encounter other people on the road - all potentially worthy companions to crew up with, or future rivals to compete against.","PC","Ubisoft","Ubisoft Reflections, Ivory Tower","T","2014-12-02","http://www.metacritic.com/game/pc/the-crew"
"The Elder Scrolls Online","71","Role-Playing","http://static.metacritic.com/images/products/games/0/f61ace508506554b4103acb7338c9fa8-98.jpg","5.7","Experience this epic adventure on your own or together with your friends, guild mates, and thousands of alliance members. Explore dangerous caves and dungeons, embark upon adventurous quests across Tamriel, and engage in massive player versus player battles, where the victors reap the spoils of war.","PC","Bethesda Softworks","ZeniMax Media","M","2014-04-04","http://www.metacritic.com/game/pc/the-elder-scrolls-online"
"The Elder Scrolls Online: Tamriel Unlimited","80","Role-Playing","http://static.metacritic.com/images/products/games/8/966dec0a7006cf80daea0b277456b539-98.jpg","8.9","Experience this multiplayer role-playing game on your own or together with your friends, guild mates, and thousands of alliance members. Explore dangerous caves and dungeons in Skyrim, or craft quality goods to sell in the city of Daggerfall. Embark upon adventurous quests across Tamriel and engage in massive player versus player battles, or spend your days at the nearest fishing hole or reading one of many books of lore. The choices are yours in the persistent world of The Elder Scrolls Online: Tamriel Unlimited. [Bethesda Softworks]","PC","Bethesda Softworks","","M","2015-03-17","http://www.metacritic.com/game/pc/the-elder-scrolls-online-tamriel-unlimited"
"The Elder Scrolls V: Skyrim","94","Role-Playing","http://static.metacritic.com/images/products/games/7/5988ee04196a686e107b46174f94a3ae-98.jpg","8.1","The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.","PC","Bethesda Softworks","Bethesda Game Studios","M","2011-11-11","http://www.metacritic.com/game/pc/the-elder-scrolls-v-skyrim"
"The Escapists","71","Action","http://static.metacritic.com/images/products/games/6/356d40fb071187ff999a1437f80656d9-98.jpg","6.9","The Escapists gives players the chance to experience a light-hearted insight into everyday prison life with the main objective being that of escaping.","PC","Team 17","Mouldy Toof Studios","","2015-02-13","http://www.metacritic.com/game/pc/the-escapists"
"The Forest",NA,"Action Adventure","http://static.metacritic.com/images/products/games/5/2090b4de4514187e1ff1feafb9194957-98.jpg","7.1","As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","PC","SKS Games","SKS Games","","2014-05-30","http://www.metacritic.com/game/pc/the-forest"
"The Long Dark",NA,"Simulation","http://static.metacritic.com/images/products/games/7/1a406e4911cdc2ba54c2e7e59f84e7d6-98.jpg","9","Imagine the lights go out, never to return. Bright aurora flare across the sky, and all humanity’s technological might is laid to waste, neutralized in a kind of quiet apocalypse. Everything that has shielded humanity from the disinterested power of Mother Nature is suddenly wrenched from us, dropping us a few links down the food chain. Food and water are scarce. The roads are no longer safe. And winter approaches... Features immersive first-person exploration gameplay featuring an original art style. Take on the role of bush pilot Will Mackenzie, and navigate the savage beauty of the Northern Wilderness while you face the hazards of the new “post-digital” frontier. In addition to playing Mackenzie in Survival Story mode, experience potentially hundreds of hours of free-form Survival Sandbox gameplay. Push yourself and your skill to last as long as possible in a variety of survival scenarios. [Hinterland Games]","PC","Hinterland","Hinterland","","2014-09-22","http://www.metacritic.com/game/pc/the-long-dark"
"The Mighty Quest for Epic Loot","64","Action Adventure","http://static.metacritic.com/images/products/games/8/5f6a7278769db80c508819fdeb003ded-98.jpg","5.6","The Mighty Quest for Epic Loot is a free-to-play IP for the PC that thrusts players in an outrageous medieval fantasy world called Opulencia where wealth, status and showboating are the name of the game.","PC","Ubisoft","Ubisoft Montreal","T","2013-06-10","http://www.metacritic.com/game/pc/the-mighty-quest-for-epic-loot"
"The Settlers Online",NA,"Strategy","http://static.metacritic.com/images/products/games/3/d0cb88ae371e94762446418cc44299a4-98.jpg",NA,"","PC","Ubisoft","Blue Byte","","2015-08-19","http://www.metacritic.com/game/pc/the-settlers-online"
"The Sims 3","86","Simulation","http://static.metacritic.com/images/products/games/4/1569359c271f409a7c4b3f096d7f2f9f-98.jpg","7.6","Create lifelike Sims with a unique personality and take them anywhere in the neighborhood. The powerful Create-a-Sim tool allows you to create Sims that are more realistic than ever. Select from dozens of personality traits such as brave, artistic, kleptomaniac, clumsy, paranoid and romantic. With Create-a-Sim, you can create a limitless number of truly unique Sims. The Sims 3 allows for infinite possibilities to design the interior and exterior of your Sims’ surroundings using the Create-a-style feature. Enjoy the challenge of short and long-term goals and then reap the rewards! Based on personality traits, skills and career choices, your Sims have Wishes that provide constant fun challenges and so many things to do and achieve. You have the ultimate freedom to choose whether to fulfill their destiny, giving them lifetime happiness and rewards or not! Register your copy of The Sims 3 for PC and Mac at www.TheSims3.com to enjoy the robust online and community features unique to your game including an all-new town called Riverview that you can download for no additional charge once you register. You will also gain access to 1,000 SimPoints to purchase items from The Sims 3 Store including exclusive outfits, hairstyles, furniture, home décor, and architectural items to customize your Sims appearance and houses in all-new ways. Visit The Store each month for new, never-seen-before themed items. Additionally, be the director of your Sims’ movies by capturing clips during your gameplay, visiting the official site, and editing the soundtrack, story, and transitions, then share it with the world! These easily accessible tools inspire creativity and allow you to share your masterpieces with your friends and other players on The Sims 3 official website, personal blogs, or any social media network. See what you can create with The Sims 3. [Electronic Arts]","PC","Electronic Arts","The Sims Studio","T","2009-06-02","http://www.metacritic.com/game/pc/the-sims-3"
"The Talos Principle","85","Sci-Fi","http://static.metacritic.com/images/products/games/9/60a973cdc93f4af5db265ca3bc84890d-98.jpg","8.5","In The Talos Principle, players assume the role of a sentient artificial intelligence placed within a simulation of humanity?s greatest ruins and linked together through an arcane cathedral. Players are tasked with solving a series of increasingly complex puzzles woven into a metaphysical parable about intelligence and meaning in an inevitably doomed world.","PC","Devolver Digital","Croteam","E10+","2014-12-11","http://www.metacritic.com/game/pc/the-talos-principle"
"The Walking Dead: A Telltale Games Series","89","Compilations","http://static.metacritic.com/images/products/games/4/a861c098a7c3d37b8b77ba3125be0784-98.jpg","8.7","Based on Robert Kirkman's comic book series, The Walking Dead brings to life a world devastated by an undead apocalypse and the horrifying choices you're forced to make to survive. Play the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer you redemption in a world gone to hell.","PC","Telltale Games","Telltale Games","M","2012-12-11","http://www.metacritic.com/game/pc/the-walking-dead-a-telltale-games-series"
"The Witcher 2: Assassins of Kings","88","Role-Playing","http://static.metacritic.com/images/products/games/1/2dc07b7e5051d69e3bb1b8f0179d978d-98.jpg","8.5","The Witcher 2 is the sequel to developer CD Projekt's mature-themed fantasy role-playing game based on the works of author Andrzej Sapkowski.","PC","Atari","CD Projekt Red Studio","M","2011-05-17","http://www.metacritic.com/game/pc/the-witcher-2-assassins-of-kings"
"The Witcher 3: Wild Hunt","93","Role-Playing","http://static.metacritic.com/images/products/games/9/562c989431810e6aac45b6164ae0bfca-98.jpg","9.1","With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders, breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.","PC","Warner Bros. Interactive Entertainment","CD Projekt Red Studio","M","2015-05-19","http://www.metacritic.com/game/pc/the-witcher-3-wild-hunt"
"The Witcher: Enhanced Edition","86","Role-Playing","http://static.metacritic.com/images/products/games/5/6915b23c228836fc771bd7cf9fa7d35b-98.jpg","8.5","Assume the role of The Witcher, Geralt, a legendary monster slayer caught in a web of intrigue as he battles forces vying for control of the world. Make difficult decisions and live with the consequences in a game that will immerse you in an extraordinary tale like no other. The Witcher shatters the line between good and evil in a world where moral ambiguity reigns. The Witcher emphasizes story and character development in a vibrant world while incorporating tactically-deep real-time combat like no game before it. [Atari]","PC","Atari","CD Projekt Red Studio","M","2008-09-16","http://www.metacritic.com/game/pc/the-witcher-enhanced-edition"
"This War of Mine","83","Action","http://static.metacritic.com/images/products/games/7/94e01bd6e77789fbb9adc5da0c12d232-98.jpg","8.4","In This War of Mine, the focus is shifted away from military operations portrayed in most games. Instead, it is a dark survival game where players control a gaggle of civilians attempting to stay alive in a besieged city. During the day snipers outside stop you from leaving your refuge, offering players time to craft, trade, upgrade their shelter, feed and cure their people. At night they must scavenge nearby areas in search for food, medicines, weapons and other useful items.","PC","11 bit studios","11 bit studios","","2014-11-14","http://www.metacritic.com/game/pc/this-war-of-mine"
"Time Clickers",NA,"Miscellaneous","http://static.metacritic.com/images/products/games/6/5cc451886636202d7da4ca329ce287ad-98.jpg",NA,"","PC","Proton Studio Inc","Proton Studio Inc","","2015-07-23","http://www.metacritic.com/game/pc/time-clickers"
"Tom Clancy's Ghost Recon Phantoms","70","Action","http://static.metacritic.com/images/products/games/1/49875e8b70cee727a9c443b77d8896b1-98.jpg","6.5","Tom Clancy’s Ghost Recon Online, a new multi-player, third-person, cover-based tactical shooter.","PC","Ubisoft","Ubisoft Singapore","","2012-08-15","http://www.metacritic.com/game/pc/tom-clancys-ghost-recon-phantoms"
"Tom Clancy's Splinter Cell: Blacklist","82","Action Adventure","http://static.metacritic.com/images/products/games/4/81a201d62abea8a80f5d0116a01c63c8-98.jpg","7.5","Unleash the force of the most lethal agent to ever exist. You are Sam Fisher, and you've been granted the ultimate license to protect innocents against an array of global terror attacks known as Blacklist - the freedom to use limitless power, to bend or break virtually every law, and to rise to the level of the world's most lethal operative. If you are successful, the President of the United States will deny your existence. If you fail, millions will likely face their deaths.","PC","Ubisoft","Ubisoft Toronto","M","2013-08-20","http://www.metacritic.com/game/pc/tom-clancys-splinter-cell-blacklist"
"Tomb Raider","86","Action Adventure","http://static.metacritic.com/images/products/games/9/e4c7dbc585abaa821cfabfd32507b834-98.jpg","8.5","An intense and gritty story of the origins of the infamous Lara Croft and her ascent from frightened young woman to hardened survivor in Tomb Raider.","PC","Square Enix","Crystal Dynamics, Nixxes Software","M","2013-03-05","http://www.metacritic.com/game/pc/tomb-raider"
"Torchlight II","88","Role-Playing","http://static.metacritic.com/images/products/games/5/6c90b51cc80bda743a4f12ed909243fd-98.jpg","8.6","Beyond the town of Torchlight lies a world shrouded in adventure and mystery. Guardian-warrior Syl appears in a prophetic dream, summoning the player to the Estherian Steppes. There, you meet with the Destroyer and soon venture across the continent of Vilderan, an exotic frontier besieged by forces of evil. A discovery unfolds, that the Alchemist, following his conquest of dark ember, disappeared on his quest to defeat the unknown corrupted force responsible for destroying the mystical race of Estherians. Aided by Syl, the remaining Estherian Guardians, and clues left behind by the missing Alchemist, you will find yourself battling a powerful enemy that threatens to unravel the elements of the entire world. Torchlight 2.","PC","Runic Games","Runic Games","","2012-09-20","http://www.metacritic.com/game/pc/torchlight-ii"
"Total War Battles: KINGDOM",NA,"Strategy","http://static.metacritic.com/images/products/games/1/4238ed76e0f8d49e79a0def722c0fce1-98.jpg",NA,"","PC","Sega","Creative Assembly","","2015-04-06","http://www.metacritic.com/game/pc/total-war-battles-kingdom"
"Total War: Arena",NA,"Strategy","http://static.metacritic.com/images/products/games/5/2b0ab6f228167770db3bea328e5cab77-98.jpg",NA,"","PC","Sega","Creative Assembly","","1970-01-01","http://www.metacritic.com/game/pc/total-war-arena"
"Total War: Attila","80","Strategy","http://static.metacritic.com/images/products/games/4/01f6a74eb9d3dae9e087bc550facb7bb-98.jpg","7.4","Set against backdrop of starvation, disease and war, a new power is rising in the East. With a million horsemen supporting him, the ultimate warrior king approaches, and he's got Rome in his sites. Total War: ATTILA thrusts players back to 395 AD world. A time of apocalyptic turmoil at the very dawn of the Dark Ages.","PC","Sega","Creative Assembly","T","2015-02-17","http://www.metacritic.com/game/pc/total-war-attila"
"Total War: Rome II - Emperor Edition","","Strategy","http://static.metacritic.com/images/products/games/3/a4bcd0185e98aec001d9396e735aec59-98.jpg","7.3","","PC","Sega","Creative Assembly","","2014-09-16","http://www.metacritic.com/game/pc/total-war-rome-ii---emperor-edition"
"Total War: Shogun 2","90","Strategy","http://static.metacritic.com/images/products/games/9/ff7021fc576aea5718c9bd1c1cc9796d-98.jpg","8.3","Shogun 2 is the ultimate refinement of the original formula with a new, cutting-edge AI, more polish and online functionality than ever before. The result is the perfect mix of real-time and turn-based strategy gaming that invites both veterans of Total War and new players to experience the enjoyment and depth of the series.","PC","Sega","Creative Assembly","T","2011-03-15","http://www.metacritic.com/game/pc/total-war-shogun-2"
